planta,fecha_evento,empresa,tipo_evento,descripcion_incidente,danos_reales_o_potenciales,fuente_peligro,es_verificado,fuente_archivo
GALLETERA & INSTANTANEOS,2026-05-26,ALICORP SAA,INCIDENTE,"Siendo aproximadamente las 02:40 pm, el colaborador que se desempeña como operador de producción, se encontraba realizando la limpieza de la cuchilla de arrastre del tunel de enfriamiento de chocotec 1, cuando al
momento de montar el polin de la faja, el peso del polin presiona la mano derecha contra una malla metálica generándole un raspón en los nudillos. Se traslada al colaborador al topico para recibir la atención correspondiente. Posteriormente regresa a planta. El evento se encuentra en investigación.",,,,tablero_2025_2026
CD AREQUIPA,2026-05-19,ALICORP SAA,INCIDENTE,"Siendo las 11:30 am aproximadamente, el operador de montacarga del [NOMBRE] se encontraba cargando una unidad estibada con Iolsa en el muelle del Anexo 5. Luego de abastecer una paleta de harina, el operador procede a transitar por el muelle para llevar otra paleta, cruzando la puerta de despacho. En ese momento, repentinamente, un estibador sale dentro del almacén y casi es alcanzado por el montacarga eléctrico. ",,,,tablero_2025_2026
CD1 LURIN,2026-05-14,ALICORP SAA,DANO MATERIAL,"El 14/05, aproximadamente a las 8:15 a.m., el conductor [NOMBRE] ingresó al almacén para realizar su carga y fue dirigido a estacionarse en la rampa 19. Durante la maniobra de salida y posicionamiento en retroceso, la unidad se aproximó excesivamente al lado derecho, impactando y desgarrando el portón de ingreso.A raíz del incidente, el portón sufrió daños que afectaron su correcto funcionamiento, por lo que se realizaron las reparaciones correspondientes. ",,,,tablero_2025_2026
CD2 LURIN,2026-05-26,ALICORP SAA,DANO MATERIAL,"Por medio del presente, se informa que el personal de Ransa, a las 10:30 horas aproximadamente del día 26/05/2026, generó un incidente en la zona de patio CD2, durante el proceso de descarga de un traslado interno desde una planta externa. El incidente ocurrió durante la extracción de una paleta desde la unidad de transporte (UT). Debido a una mala manipulación durante la operación, se generó la caída de 7 cajas desde una altura aproximada de 3 metros, ocasionando que dicho inventario pase a estatus de merma.",,,,tablero_2025_2026
MOLINO CALLAO,2026-05-26,ALICORP SAA,INCIDENTE,"Aproximadamente a las 23:35 horas, el trabajador se encontraba realizando labores de limpieza en séptimo piso de embolsado, específicamente en el retiro y manipulación de bandeja de rechazo de producto del equipo cernedor.
Durante la maniobra de descenso de la bandeja hacia su posición, el trabajador entró en contacto con la esquina metálica del rotulo, lo que ocasionó un corte superficial en el dedo pulgar de la mano derecha.",,,,tablero_2025_2026
GALLETERA & INSTANTANEOS,2026-05-27,ALICORP SAA,INCIDENTE,"El día 27/05/2026, aproximadamente a las 09:30 am, el colaborador que se desempeña como ayudantes de máquina se encontraba realizando la actividad de alimentación de cajas al equipo, cuando al momento de cortar el suncho de los paquetes de cajas, una partícula de plástico salta en dirección cercana a su ojo
causándole una molestia.",,,,tablero_2025_2026
MARGARINAS Y MANTECAS,2026-05-27,ALICORP SAA,ALTO POTENCIAL,"El día 27-may aproximadamente 03:30 pm, se reportó un incidente de alto potencial en el área de mantecas ubicada en planta Copsa.  Durante la producción regular por dicha línea se produce una fuga de amoniaco líquido por el vástago de la válvula de ingreso hacia el cristalizador. Al identificar la fuga, se cerró la válvula de ingreso de amoniaco a dicho equipo por parte del líder de mantecas siguiendo el protocolo de emergencia vigente lográndose contener la fuga. ",,,,tablero_2025_2026
GALLETERA & INSTANTANEOS,2026-05-28,ALICORP SAA,INCIDENTE,"Siendo aproximadamente a las 12:30 hrs, la colaboradora que se desempeña como operaria de producción se encontraba terminando su refrigerio. Saliendo del comedor de galletaría, al momento de bajar los últimos escalones de la escalera tropieza, sin embargo logra evitar la caída gracias a sostenerse de la
baranda. El evento es reportado para ser difundido durante el turno con el personal de planta.",,,,tablero_2025_2026
GALLETERA & INSTANTANEOS,2026-05-29,ALICORP SAA,INCIDENTE,"El viernes 29 de mayo, aproximadamente a las 20:50 horas, una aprendiz reportó una herida en el dedo índice de la mano izquierda mientras realizaba la alimentación de galletas hacia la envasadora C9 de línea 3.
",,,,tablero_2025_2026
GALLETERA & INSTANTANEOS,2026-05-29,ALICORP SAA,INCIDENTE,"Siendo aproximadamente las 03:00 horas, una colaboradora se encontraba haciendo inspeccion en el rayo x de la linea 1, y al momento de trasladarse por la zona se golpea el muslo con una varilla que sobrasele de la faja.",,,,tablero_2025_2026
GALLETERA & INSTANTANEOS,2026-05-30,ALICORP SAA,INCIDENTE,"En la línea de envasado L1, aproximadamente a las 20:15 horas, un colaborador se encontraba realizando la alimentación de galletas desde la mesa de acomodo hacia los magazines. Al momento de tomar una bandeja de galletas, sufrió una herida superficial en el tercer dedo de la mano derecha, ocasionada por chocar con la estructura de las guías de la mesa de acomodo.",,,,tablero_2025_2026
GALLETERA & INSTANTANEOS,2026-05-30,ALICORP SAA,INCIDENTE,"En la línea de envasado L1, aproximadamente a las 16:20 hrs, un colaborador se encontraba realizando la alimentación de paquetes primarios hacia la envasadora pack, en un momento los paquetes primarios salen sin sellar y  se procede a retirarlos, es ahí donde se produce una herida superficial en el 5to dedo de mano izquierda",,,,tablero_2025_2026
GALLETERA & INSTANTANEOS,2026-05-31,ALICORP SAA,INCIDENTE,"Aproximadamente a las 16:20 horas, un operador sufrió un corte superficial en la muñeca izquierda mientras realizaba la actividad de pelado de galletas en la máquina T2B. Durante la disposición de una envoltura plástica en el contenedor de residuos, el trabajador realizó un movimiento de alcance y entró en contacto con un borde filoso ubicado en una canaleta de protección, provocándose la lesión",,,,tablero_2025_2026
CD1 DETERGENTES LURIN,2026-06-26,ALICORP SAA,INCIDENTE,"El viernes 26.06.2026, durante el proceso del carguío, la empresa de Transportes ROSYMAR Perú, con la placa CFB-784/ BTN-970, al hacer una maniobra para terminar de estacionar la UT en la rampa N°1, terminó colisionando contra la baranda peatonal.",,,,tablero_2025_2026
DETERGENTES CALLAO,2026-06-30,ALICORP SAA,INCIDENTE,"Aproximadamente a las 20:00 hrs del 30/06, durante la limpieza regular
del filtro de SLOP, se produjo el derrame de detergente recuperado por la
tuberia abierta por la limpieza del filtro.Una vez identificada la desviacion se realizo la detención del proceso, se
culminó la limpieza de filtro y se realizó la limpieza del área afectada.
No se registraron daños personales ni materiales.",,,,tablero_2025_2026
DETERGENTE LURIN,2026-06-30,ALICORP SAA,ALTO POTENCIAL,"Alas 17:50 horas, en el area de [NOMBRE] y como parte de la elaboracion del
slurry, se realizaba la carga de sulfato de sodio desde la tolva de almacenamiento hacia la
balanza automatica. Durante esta operación, se genero una emisión de polvo al ambiente
provocada por el aire encapsulado en el producto durante su transferencia.",,,,tablero_2025_2026
COCHABAMBA,2026-07-01,ALICORP BOLIVIA,DANO MATERIAL,"El 1 de julio de 2026, aproximadamente a las 03:30 horas, en la avenida 2 (punto de descarga de SEBO), el montacarga golpeó con una de las llantas el parachoques de un camión de cisterna de SEBO mientras se dirigía a recoger producto terminado.",,,,tablero_2025_2026
GALLETERA & INSTANTANEOS,2026-07-02,ALICORP SAA,INCIDENTE,"El jueves 02 de julio, aproximadamente a las 09:25 h, colaborador reportó que mientras se encontraba realizando sus funciones en Rayos X L2, presenta contacto accidental del primer dedo con borde filoso del equipo produciendo herida superficial. El colaborador fue derivado al tópico para atención.",,,,tablero_2025_2026
MARGARINAS Y MANTECAS,2026-07-02,ALICORP SAA,INCIDENTE,"El jueves 02 de julio, aproximadamente a las 05:10 hr, el personal tercero de la empresa [NOMBRE] reportó que mientras se encontraba realizando las funciones de encajado en la línea de bloques de margarinas sufre un corte superficial por contacto del cuarto dedo de su mano derecha con el transportador de tablillas de cajas con producto terminado. El personal fue derivado al tópico para atención.",,,,tablero_2025_2026
SIDSUR,2026-07-06,ALICORP SAA,INCIDENTE,"Siendo el día 06/07/2026 de a las 09:25 a.m. El colaborador de la planta galletas, las actividades de apilado en la línea 1, refiere que mientras descendía en la plataforma de 2 pasos al pisar el último peldaño, sintió un dolor
en la rodilla derecha, indica que en ese momento el dolor era muy leve, sin embargo al momento de finalizar el turno alrededor de la 1:15 p.m.",,,,tablero_2025_2026
LURIN 1,2026-07-06,ALICORP SAA,INCIDENTE,"Siendo aproximadamente las 03:05 p.m., un colaborador del area de Almacen se encontraba realizando el almacenamiento de paletas en el rack del cuarto nivel. Durante la maniobra, la parte superior de las
cajas impacto con la viga del rack, ocasionando la caída de cuatro cajas hacia el tercer nivel, afectando
dos paletas diferentes. El evento fue reportado de inmediato al supervisor de turno, quien dispuso el descenso de las dospaletas involucradas para su verificación. Una vez ubicadas en el piso, se evidenció que algunas cajas
se encontraban rotas y mojadas, afectando el contenido de ambas paletas. ",,,,tablero_2025_2026
LURIN 1,2026-07-08,ALICORP SAA,INCIDENTE,"El 08 de julio de 2026, aproximadamente a las 13:00 horas, durante la producción del formato WC Plus 500 mL en la línea KTF, se presentó un atoro de tapas en la tolva de alimentación. Durante las acciones para retirar la obstrucción, el colaborador sufrió un raspón superficial en la mano izquierda. Al inspeccionar el equipo, se identificó un alambre interno expuesto en la manguera de alimentación de tapas, el cual ocasionó la lesión por contacto.",,,,tablero_2025_2026
GALLETERA & INSTANTANEOS,2026-07-10,ALICORP SAA,INCIDENTE,Siendo las 20:00 horas la Aprendiz de Senati se encontraba realizando la actividad de alimentación de granel de [NOMBRE] desde la mesa de acomodo hacia los magazines de la envasadora Torre 2B y de pronto sufre un leve raspón a la altura del antebrazo izquierdo.,,,,tablero_2025_2026
APT MFA,2026-07-09,ALICORP SAA,ALTO POTENCIAL,"Siendo aproximadamente las 11:00 a. m., el conductor se encontraba realizando la apertura de las puertas posteriores de la unidad como parte de la inspección previa al carguío, cuando la puerta posterior izquierda cedió de manera inesperada, quedando suspendida.",,,,tablero_2025_2026
CAJAMARQUILLA,2026-07-11,ALICORP SAA,INCIDENTE,"Al abrir el saco, percibió olor a gas, por lo que dio aviso inmediato al área de Mantenimiento para realizar la medición de PH₃ (fosfina). La medición efectuada con el equipo arrojó un valor de 5 ppm, superando el [NOMBRE] de [NOMBRE] (TWA 8 horas) establecido en 0,3 ppm. Como medida de verificación, se realizó una medición de confirmación directamente en los sacos de maíz ubicados en el camión, obteniéndose resultados similares.",,,,tablero_2025_2026
GALLETERA & INSTANTANEOS,2026-07-11,ALICORP SAA,INCIDENTE,"La colaboradora refiere que el día 10/07, al finalizar su jornada laboral y salir por la [NOMBRE], sufrió un golpe en el segundo dedo de la mano derecha al accionar el botón de apertura de la puerta metálica.",,,,tablero_2025_2026
GALLETERA & INSTANTANEOS,2026-07-10,ALICORP SAA,INCIDENTE,"Siendo aproximadamente las 10:50 p. m., una operadora de producción de la Línea 4, perteneciente a la empresa Prolabora, transitaba por las inmediaciones de la envasadora D3 cuando sufrió un resbalón debido a la presencia de acumulación de producto en el piso. Como consecuencia, cayó sobre su brazo izquierdo, ocasionándose un golpe en dicha extremidad.",,,,tablero_2025_2026
DETERGENTES CALLAO,2026-12-07,ALICORP SAA,ALTO POTENCIAL,"Aproximadamente a las 16:00 horas, el personal de Producción de Detergentes reportó la caída de una paleta de LES ([NOMBRE] de Sodio al 70%), ubicada en la zona de recepción del almacén de Detergentes. La carga estaba conformada por cinco cilindros de 170 kg cada uno y se encontraba apilada sobre otra paleta de las mismas características. Tras el incidente, el personal de planta procedió a asegurar el área mediante el uso del kit antiderrames y comunicó oportunamente lo ocurrido a las áreas involucradas.",,,,tablero_2025_2026
JABONERIA,2026-07-13,ALICORP SAA,INCIDENTE,"El día Lunes 13.07.2026 a las 00:33 horas, se reportó un aniego de agua originado por el desborde de la poza de efluentes de la Planta de Frascos, lo que ocasionó el ingreso de agua al primer piso de la Planta de Jabonería",,,,tablero_2025_2026
SALSAS 4 – COPSA,2026-07-13,ALICORP SAA,INCIDENTE,"El día Lunes 13.07.2026 a las 10:50 am, se reportó un aniego de agua originado por la fuga de agua en un lavadero del 1er Piso de la [NOMBRE] 4.",,,,tablero_2025_2026
SIDSUR,2026-07-13,ALICORP SAA,INCIDENTE,"Siendo aproximadamente las 3:00 p. m., en el área de Galletería, segundo nivel, Línea 1, durante el reemplazo de tareas, una colaboradora de SENATI, al parase de la silla de trabajo, impactó su cabeza contra el panel de control del equipo Multipack (Equipo fuera de uso).",,,,tablero_2025_2026
NANA,2026-07-16,ALICORP SAA,INCIDENTE,"Aproximadamente a las 7:40 am, el operador de envasado estaba realizando una inspección de mordaza, y al momento de levantarse no se percata de la pantalla de la envasadora golpeándose la cabeza con la parte trasera de la estructura.",,,,tablero_2025_2026
GALLETERA & INSTANTANEOS,2026-07-16,ALICORP SAA,INCIDENTE,"Siendo aproximadamente las 01:10 horas, una colaboradora se encontraba alimentando galletas en la línea 1, al momento de sentarse apoya su pie izquierdo en una bandeja que sirve para recolectar galletas no conformes, esta bandeja con la presion del pie se gira y provoca un golpe en la rodilla",,,,tablero_2025_2026
SIDSUR,2026-07-15,ALICORP SAA,INCIDENTE,"La colaboradora [NOMBRE] (Operaria de producción) al momento de mover las gavetas con soda V para ingresar a la linea de empaques las galletas envasadas, tropieza con otra pila de gavetas (el área estaba con varias de estas y con poco espacio de movilidad), golpeandoce en la tibia de la pierna derecha con la generando una hinchazón en la parte afectada. Seguidamente, se acercó al coordinador de turno para realizar el reporte y solicitar su atención correspondiente.",,,,tablero_2025_2026
SIDSUR,2026-07-17,ALICORP SAA,INCIDENTE,"La colaboradora de SENATI - Galletería, [NOMBRE] al reincorporarse a su puesto de trabajo, descendía por las escaleras de la Línea 1 cuando, al pisar los dos últimos peldaños, sufrió un resbalón, perdiendo el equilibrio y cayendo, lo que le ocasionó golpes en la pantorrilla derecha y en la región lumbar (espalda baja).
",,,,tablero_2025_2026
MOLINO CALLAO,2026-07-17,ALICORP SAA,INCIDENTE,"Aproximadamente a las 18:30 horas, durante la operación de la línea Foodservice, dos operadores reportaron enrojecimiento y leves raspones en los nudillos de las manos. Esto ocurrió luego de realizar el acomodo manual de sacos, los cuales presentaban mayor volumen de lo habitual, requiriendo un esfuerzo adicional para su correcta disposición.",,,,tablero_2025_2026
GALLETERA & INSTANTANEOS,2026-07-17,ALICORP SAA,INCIDENTE,Siendo las 09:20 horas el Operario de producción se encontraba realizando la actividad de colocación de estación de bolsas para reproceso en la envasadora C9 y al intentar colocar dicha estación se percata que esta no ingresaba con facilidad y decide ejercer presión con ambas manos y sufre una leve excoriación en el segundo nudillo de la mano derecha.,,,,tablero_2025_2026
LURIN 3,2026-07-18,ALICORP SAA,INCIDENTE,"Siendo las 14:00 horas, un operador de la empresa Thel, quien realizaba trabajos con un manlift en la zona de despacho de HLAS efectuó una maniobra incorrecta, impactando con la línea de vida y provocando la activación del absorbedor de impacto, lo que dejó el sistema fuera de servicio.",,,,tablero_2025_2026
PREDIO CALLAO,2026-07-21,ALICORP SAA,INCIDENTE,"El martes 21 de julio, aproximadamente a las 14:30 horas, una operadora tercera reportó un golpe en la región palmar de la mano izquierda mientras realizaba el movimiento de 3 bandejas vacías de galletas.",,,,tablero_2025_2026
CD HUACHIPA,2026-07-21,ALICORP SAA,INCIDENTE,"Aproximadamente a las 5:30 p. m., un operador que conducía un Equipo de [NOMBRE] (ETV) se disponía a salir del almacén con dirección a la sala de baterías. Durante el desplazamiento, la parte superior del equipo impactó contra la parte inferior de la puerta elevadiza, ocasionando el hundimiento de la estructura e impidiendo posteriormente su cierre.",,,,tablero_2025_2026
APT MCA,2026-07-25,ALICORP SAA,ALTO POTENCIAL,"Aproximadamente a las 17:40 horas, OME del Apt. se encontraba reubicando PNC de la zona de producción con el fin de liberar espacio para la circulación de una escalera y otros materiales a pedido del contratista de planta, En la maniobra impacta con la carga, al manómetro del manifold del SCI; como consecuencia se produce una fuga de agua presurizada del sistema, generando un charco de agua en la zona. El OME informa al JT quien cierra la válvula del manifold para contener la citada fuga, se comunica al equipo de seguridad de planta  y se dispone la recolección y limpieza del agua en la zona.",,,,tablero_2025_2026
CD HUACHIPA,2026-07-18,ALICORP SAA,INCIDENTE,"En coordinación entre el equipo de CD Huachipa y el proveedor NSF, se programó la actividad de desinsectación del predio de CD Huachipa, la cual estaba prevista para ejecutarse el sábado 18/07/26.",,,,tablero_2025_2026
APT FARINACEOS,2026-07-24,ALICORP SAA,INCIDENTE,"El 20 de julio aproximadamente a las 11:10 PM, un colaborador se encontraba realizando labores de traslado de paletas hacia la zona de abastecimiento del APT Galletera con su equipo asignado ETV. Al efectuar la maniobra de retroceso con el equipo, no se percató que la puerta automática estaba descendiendo, ocasionando que la parte superior del mástil impactara con la puerta.",,,,tablero_2025_2026
APT FARINACEOS,2026-07-20,ALICORP SAA,INCIDENTE,"El 20 de julio, aproximadamente a las 12:45 PM, un colaborador se encontraba en el patio de maniobras del APT Fideería cuando, al acercarse a la zona de montacargas, percibió olor a gas. El colaborador logró identificar que la fuga provenía de uno de los balones de GLP de uno de los equipos estacionados y procedió a comunicar el evento al analista de turno. ",,,,tablero_2025_2026
GALLETERA & INSTANTANEOS,2026-07-31,ALICORP SAA,INCIDENTE,"El viernes 31 de julio, aproximadamente a las 13:35 horas, un operador reportó una herida superficial en el dedo pulgar de la mano izquierda mientras realizaba el cambio de teflón del formador de la máquina D1 sobre su mesa de trabajo. Durante la maniobra, el dedo del colaborador hizo contacto con un borde filoso del componente.",,,,tablero_2025_2026
GALLETERA & INSTANTANEOS,2026-07-31,ALICORP SAA,INCIDENTE,"Siendo las 04:50 horas del 31/07, una operaria de Producción de Galletas se dispuso a ingresar a la planta y encontró la puerta de la aduana cerrada, con un cartel de señalización que indicaba “Prohibido pasar”. Sin embargo, la colaboradora hizo caso omiso a la restricción e ingresó a la planta con la finalidad de registrar su asistencia y ubicar al ingeniero de turno.",,,,tablero_2025_2026
